gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,pct_FC
Ap1s2,9.318181794737109e-59,-0.542193976063908,0.16399999999999998,0.361,2.4745363574103897e-54,0.45429364392538396
Lmo4,5.070910754797089e-51,-0.543688113276677,0.316,0.485,1.3466310600439199e-46,0.651546398937188
R3hdm4,3.66333095338913e-31,-0.546705634663617,0.44,0.547,9.72834167982018e-27,0.804387572131854
Lsp1,1.29924150146433e-63,-0.548137729276355,0.742,0.81,3.4502657312886893e-59,0.916049383752477
Tagln2,1.5588393367276302e-31,-0.549042031610003,0.483,0.565,4.139653742613889e-27,0.8548672592058891
Junb,3.4690654119743096e-41,-0.554280841370791,0.523,0.657,9.21245010803899e-37,0.7960426210648001
G6pdx,1.84855783721107e-52,-0.554986602568176,0.18,0.35700000000000004,4.9090301924977196e-48,0.504201694560177
Pgd,1.01481321533217e-25,-0.555742920131344,0.38299999999999995,0.47100000000000003,2.69493797463612e-21,0.8131634859200959
Efhd2,2.8182841978415998e-64,-0.55758454424908,0.259,0.456,7.48423551578815e-60,0.56798246561442
Spi1,5.218700544729489e-61,-0.5585755218083149,0.248,0.439,1.3858781166583598e-56,0.5649202832592191
Lst1,1.5447904056412998e-84,-0.567089569858615,0.047,0.271,4.102345401221039e-80,0.173431764818016
Picalm,7.374892679224508e-51,-0.5690651125545,0.556,0.687,1.95847649989486e-46,0.8093158688600309
Creg1,3.356307228046189e-61,-0.577885918754489,0.141,0.342,8.913009474799469e-57,0.41228071893915996
Zfp36,8.151339347659268e-31,-0.57938103631726,0.736,0.787,2.1646696771643993e-26,0.935196951268145
Prr13,7.19303667198398e-42,-0.5846605981280238,0.5820000000000001,0.685,1.9101828186120702e-37,0.8496350386914592
Rhob,1.7781570955442596e-50,-0.5874138904698629,0.233,0.41,4.72207398292735e-46,0.568292693456276
Spn,6.494083957988359e-100,-0.597039847317285,0.094,0.36,1.7245689358833895e-95,0.261111131635802
Ftl1,6.253912202825169e-55,-0.5996221365871539,0.812,0.83,1.6607889245822497e-50,0.9783132532733341
Rhog,2.7289788064748193e-87,-0.600815171511225,0.604,0.73,7.247076118474518e-83,0.8273972626383941
Lgals1,3.529262016104879e-64,-0.605110199462103,0.07,0.262,9.37230820996813e-60,0.267175600489481
Taldo1,1.4643348846555098e-75,-0.610387695387497,0.512,0.654,3.8886877196911695e-71,0.782874621056963
Igkc,1.4798207321985098e-86,-0.6110805617256589,1.0,1.0,3.9298119364263693e-82,1.0
Clec12a,2.64302079286771e-78,-0.613493897178366,0.071,0.28600000000000003,7.018806017539489e-74,0.248251774536651
Stmn1,8.231906714905059e-33,-0.6165844059186291,0.134,0.257,2.18606514721019e-28,0.521400796832654
Rflnb,1.2851367287074798e-60,-0.6208993621322499,0.094,0.278,3.4128090967555796e-56,0.338129520211168
Ccnd3,3.609715377395629e-78,-0.621043544362393,0.456,0.617,9.585960156211828e-74,0.7390599718142629
Fgr,4.2966495487707294e-65,-0.6270723423215729,0.14400000000000002,0.34299999999999997,1.1410182541715497e-60,0.41982508980101796
Igsf6,5.116697043835479e-104,-0.635703947348375,0.019,0.267,1.3587900669609495e-99,0.071161083477113
Pirb,1.2804461700569196e-80,-0.640107638381891,0.105,0.332,3.40035284920316e-76,0.31626508083538896
Cpne3,2.8276548222200997e-39,-0.640505322826734,0.282,0.428,7.50912014588769e-35,0.658878512643025
Sat1,3.259875845948389e-59,-0.640540444222959,0.528,0.659,8.656926296500539e-55,0.8012139635627621
Ighg3,1.12329627208435e-05,-0.6417677840531789,0.33399999999999996,0.301,0.298302558014721,1.10963454785267
Ms4a6b,2.61485077087777e-44,-0.650086661491591,0.166,0.319,6.943997707142999e-40,0.520376190583818
Gpx1,4.713627038480339e-55,-0.6519274183058189,0.742,0.755,1.2517507963388398e-50,0.982781457181703
Mpeg1,7.03516050268113e-10,-0.657560551334736,0.24,0.295,1.8682572230920002e-05,0.8135593283539209
Lcp2,7.906326653266718e-129,-0.6614496160594311,0.036000000000000004,0.336,2.0996041060415093e-124,0.107142883715986
Klf6,4.417090194691259e-71,-0.6616373529182421,0.28800000000000003,0.512,1.1730024721022097e-66,0.562500008544922
Ogfrl1,1.6604086714390698e-76,-0.669116402337764,0.16,0.384,4.4093812678735897e-72,0.4166666818576379
Cd300lf,1.6385377008192496e-51,-0.671301703149539,0.098,0.266,4.3513007182956098e-47,0.36842107637514704
Arrb2,1.7138610527525897e-83,-0.671581895437907,0.187,0.42200000000000004,4.55132941168977e-79,0.44312797528132797
Adpgk,1.72337950189308e-08,-0.683140610956514,0.327,0.37,0.00045766066052272596,0.8837837869247629
Flna,1.7888392732622895e-99,-0.6863773318680029,0.514,0.698,4.750441574075339e-95,0.7363896885904059
Nfam1,2.4964362929211697e-53,-0.6872778118596031,0.215,0.385,6.62953621948146e-49,0.558441569910609
Smpdl3a,1.4163835242382596e-101,-0.691202159886287,0.095,0.363,3.7613480869671194e-97,0.26170800931933896
Csf2ra,5.9283431316138694e-49,-0.6919761699260161,0.349,0.489,1.57433080203138e-44,0.713701437347619
Clec4a2,6.920511372939048e-87,-0.6956406947377,0.033,0.252,1.8378110001976894e-82,0.130952415438396
Pilra,8.462577305745069e-90,-0.707569843538779,0.027000000000000003,0.251,2.24732202931366e-85,0.10756975667052801
Fcgr3,1.9787566860115392e-94,-0.7076999152411559,0.023,0.254,5.25478625537224e-90,0.0905512169074324
Myo1f,4.12478473049832e-109,-0.7079001258206842,0.098,0.37200000000000005,1.0953778330311296e-104,0.26344088001502997
Il6ra,4.7218701981188695e-98,-0.709135702637615,0.08900000000000001,0.34600000000000003,1.2539398498124496e-93,0.257225454993484
H2afz,4.9391004963958085e-64,-0.71181108593647,0.523,0.633,1.3116275278228697e-59,0.826224331339268
Plbd1,6.02947099643046e-30,-0.7121493484132131,0.222,0.32799999999999996,1.60118631781207e-25,0.676829278145449
Glrx,6.093148228754859e-83,-0.72541243293097,0.13,0.363,1.61809644362814e-78,0.358126739445544
Myadm,2.9515118220991e-70,-0.733430773431604,0.084,0.293,7.838034794766369e-66,0.286689444140292
Syne1,4.0160828760264706e-44,-0.7557215165838079,0.146,0.295,1.06651096855759e-39,0.494915271358804
Hmgn2,2.38885968054866e-32,-0.76333435193389,0.314,0.41700000000000004,6.343855767665019e-28,0.752997607841784
Id2,1.0652259693416098e-51,-0.7731867501689291,0.16399999999999998,0.33899999999999997,2.82881408418359e-47,0.483775826437291
Grina,1.9828429553594496e-50,-0.7766987678151379,0.22899999999999998,0.41100000000000003,5.2656377522525495e-46,0.557177626346043
Rgs2,7.235033828275839e-76,-0.79881319147326,0.228,0.456,1.92133558343693e-71,0.500000010964912
Itm2b,5.921727492749998e-143,-0.7998788101229442,0.8640000000000001,0.9059999999999999,1.5725739529746896e-138,0.953642384617634
Selenop,4.067669044779639e-87,-0.813351013262203,0.11800000000000001,0.365,1.0802101915316798e-82,0.32328768977294003
Mgst1,9.236885020423529e-69,-0.819248773447282,0.07,0.26,2.4529471860236693e-64,0.26923079733727695
Emb,2.4867804210808992e-89,-0.820173487813471,0.11,0.35,6.603894086222449e-85,0.31428573387755
Siglece,4.340313135537358e-93,-0.8306093236013371,0.049,0.28600000000000003,1.1526135562732997e-88,0.171328700303192
Cd44,2.38112099767888e-109,-0.8461286379819809,0.258,0.527,6.323304921436019e-105,0.489563577048129
Ctsb,3.5600940457088496e-29,-0.851117560839999,0.542,0.606,9.454185747784409e-25,0.894389440686643
App,3.409665863516719e-118,-0.8677016915337329,0.066,0.349,9.054708667154998e-114,0.18911177108562302
Ifitm2,2.0667831667114794e-102,-0.8764515099435942,0.06,0.318,5.488549377519009e-98,0.188679270796249
Dstn,9.087375904612558e-72,-0.8883192970590981,0.16399999999999998,0.376,2.4132435452289095e-67,0.43617022776143
Txn1,1.7689079532254192e-120,-0.889029990797,0.5710000000000001,0.7,4.6975119605854283e-116,0.815714288346939
Mcemp1,6.285371757181569e-84,-0.908730955541991,0.04,0.255,1.66914332383714e-79,0.15686277816224403
Fos,7.287321540023307e-70,-0.912842719304803,0.35,0.542,1.935221108168589e-65,0.645756464100434
Cebpb,1.2410777658925798e-73,-0.9226079373660899,0.132,0.35,3.295806115104329e-69,0.377142874938775
Top2a,7.669808817410378e-31,-0.9279157969026931,0.142,0.262,2.0367944295514998e-26,0.5419847503059261
Ighg1,0.11209223376085801,-0.938433584838963,0.265,0.297,1.0,0.8922558958836401
Fxyd5,4.8737915632049684e-144,-0.9476224816059129,0.19699999999999998,0.52,1.2942840875247096e-139,0.37884616579141994
Itgb2,3.7391540060060887e-128,-0.9692836866649829,0.466,0.6729999999999999,9.929697378349775e-124,0.6924219956549481
Dusp1,9.364777890346748e-54,-1.0007715472398,0.162,0.35,2.48691041656048e-49,0.46285715820408097
Vsir,1.4569983400462893e-179,-1.00948426161322,0.066,0.441,3.869204791826919e-175,0.149659883227667
Zyx,6.70353205733249e-128,-1.01835317567194,0.158,0.45799999999999996,1.7801899731452193e-123,0.344978180240651
Actn1,5.8349456112314585e-105,-1.02468856937831,0.068,0.32899999999999996,1.5495281565186294e-100,0.20668695420404398
Mxd1,1.2806440520518498e-65,-1.0286089117180401,0.11599999999999999,0.316,3.400878344628879e-61,0.367088627623778
Msrb1,9.268176603004368e-96,-1.0343251022203,0.158,0.41100000000000003,2.461256978693839e-91,0.384428238821697
Prdx5,5.153352786360929e-57,-1.0438986679062099,0.445,0.5870000000000001,1.3685243659460098e-52,0.7580919973067801
Gsr,3.610301243694469e-130,-1.04843021086013,0.077,0.377,9.587515982755027e-126,0.204244052937824
Slfn1,2.4037729321731096e-98,-1.0489126683511099,0.055999999999999994,0.304,6.383459398678899e-94,0.184210553150969
Cst3,3.810758242541879e-117,-1.06141012759534,0.542,0.705,1.0119849588894199e-112,0.768794329520648
